customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
3391-JSQEW,male,0,Yes,No,40.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,50.15,2058.5,No
0343-QLUZP,male,0,No,No,60.0,No,No,dsl,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),39.6,2424.5,No
9763-PDTKK,female,0,No,No,4.0,Yes,No,fiber optic,Yes,No,Yes,Yes,No,Yes,Monthly,Yes,Bank transfer (automatic),94.4,387.2,Yes
2176-LVPNX,female,1,No,No,71.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Manual,89.85,6293.45,No
7627-JKIAZ,female,0,Yes,No,37.0,Yes,Yes,fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Credit card (automatic),78.95,2839.65,Yes
3312-UUMZW,male,0,Yes,No,32.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),98.85,3145.9,No
1271-UODNO,male,0,No,No,39.0,Yes,Yes,dsl,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),53.85,2200.7,No
8461-EFQYM,female,0,No,No,38.0,Yes,Yes,no,No,No,No,No,No,No,One year,Yes,Manual,24.25,914.4,No
6900-RBKER,male,0,No,No,52.0,Yes,Yes,fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),89.45,4577.75,No
6891-JPYFF,female,0,Yes,Yes,48.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),105.25,4997.5,No
1459-QNFQT,male,0,Yes,Yes,70.0,No,No,dsl,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.5,4144.8,No
1047-NNCBF,male,0,No,No,20.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,No,Credit card (automatic),70.55,1493.55,No
3696-XRIEN,female,0,No,No,50.0,Yes,Yes,dsl,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.5,4179.1,No
4081-DYXAV,female,0,No,No,19.0,No,No,dsl,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),44.85,893.55,Yes
0074-HDKDG,male,0,Yes,Yes,25.0,Yes,No,dsl,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,No
8791-GFXLZ,male,0,No,No,12.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),49.05,593.05,No
8111-SLLHI,male,1,Yes,No,39.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,105.65,4284.8,Yes
0927-LCSMG,male,0,No,No,7.0,Yes,No,fiber optic,No,No,Yes,No,No,No,Monthly,No,Manual,74.65,544.55,Yes
9330-DHBFL,female,0,Yes,Yes,23.0,Yes,No,dsl,Yes,Yes,Yes,Yes,No,No,One year,Yes,Manual,66.25,1533.8,No
0098-BOWSO,male,0,No,No,27.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,19.4,529.8,No
3452-ABWRL,male,1,No,No,47.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Credit card (automatic),86.05,3865.6,No
5859-HZYLF,male,0,Yes,Yes,26.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),19.15,515.75,No
8257-RZAHR,female,0,Yes,No,14.0,Yes,Yes,dsl,Yes,No,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),64.7,941.0,Yes
5293-WXJAK,female,1,Yes,No,11.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Bank transfer (automatic),104.05,1133.65,Yes
3156-QLHBO,male,0,No,Yes,2.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.25,48.35,No
2208-NQBCT,female,0,Yes,Yes,26.0,Yes,No,fiber optic,Yes,Yes,No,No,No,No,Monthly,No,Manual,81.95,2070.05,No
1779-PWPMG,female,1,Yes,No,72.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.65,8333.95,No
6621-NRZAK,female,0,Yes,Yes,63.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.0,1209.25,No
0831-JNISG,male,0,Yes,Yes,71.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,19.8,1396.25,No
0774-IFUVM,male,0,Yes,Yes,11.0,Yes,Yes,dsl,Yes,No,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),65.15,723.35,No
3082-WQRVY,male,1,Yes,No,14.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.65,228.65,No
9553-DLCLU,female,0,No,Yes,13.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.95,1161.75,No
1641-BYBTK,male,0,No,Yes,6.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,20.2,98.35,No
2460-NGXBJ,male,1,Yes,Yes,11.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Credit card (automatic),75.2,775.3,No
2446-ZKVAF,male,0,Yes,No,18.0,Yes,Yes,dsl,No,Yes,No,No,No,No,Monthly,No,Credit card (automatic),56.8,1074.65,No
0841-NULXI,male,0,No,No,1.0,No,No,dsl,No,No,No,No,No,Yes,Monthly,Yes,Manual,35.55,35.55,Yes
3522-CDKHF,female,0,Yes,No,32.0,Yes,No,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),75.5,2324.7,No
1430-SFQSA,male,0,No,No,29.0,No,No,dsl,Yes,No,No,Yes,No,No,One year,No,Manual,35.6,1072.6,No
0411-EZJZE,female,0,No,No,3.0,Yes,Yes,dsl,No,No,No,No,Yes,No,Monthly,Yes,Manual,60.25,170.5,No
7851-WZEKY,female,0,No,No,2.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,95.15,196.9,Yes
8844-TONUD,male,0,Yes,Yes,13.0,Yes,No,fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Manual,96.65,1162.85,Yes
8807-ARQET,female,0,No,No,41.0,No,No,dsl,No,Yes,No,No,No,Yes,Monthly,Yes,Manual,40.35,1677.85,No
8992-CEUEN,female,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,18.85,18.85,No
4320-QMLLA,male,0,No,No,7.0,Yes,No,dsl,No,No,No,No,Yes,No,Monthly,No,Manual,54.85,370.4,No
8777-PVYGU,female,0,Yes,No,52.0,Yes,No,dsl,Yes,No,Yes,No,Yes,No,One year,Yes,Manual,64.3,3410.6,No
8292-ITGYJ,female,0,Yes,Yes,45.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.65,1138.8,No
6870-ZWMNX,male,0,Yes,No,70.0,Yes,Yes,dsl,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),76.1,5264.25,No
0621-CXBKL,female,0,No,No,53.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,18.7,1005.7,No
5268-DSMNQ,female,1,Yes,No,62.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),97.95,5936.55,No
5334-JLAXU,female,0,Yes,No,60.0,Yes,Yes,fiber optic,Yes,Yes,No,No,No,Yes,Monthly,Yes,Credit card (automatic),94.1,5475.9,No
4086-YQSNZ,female,1,Yes,No,3.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,80.4,224.05,Yes
6242-MBHPK,female,1,Yes,No,23.0,Yes,No,fiber optic,Yes,No,No,No,Yes,Yes,Monthly,Yes,Manual,95.1,2326.05,No
5868-CZJDR,male,0,No,Yes,1.0,No,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,31.35,31.35,Yes
9359-UGBTK,female,0,No,No,67.0,Yes,No,dsl,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.35,4991.5,No
0135-NMXAP,female,0,No,No,12.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),89.75,1052.4,Yes
4782-OSFXZ,female,1,Yes,No,71.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.7,5831.2,No
6479-OAUSD,male,0,No,No,25.0,Yes,No,no,No,No,No,No,No,No,One year,No,Credit card (automatic),19.9,510.8,No
7129-ACFOG,female,0,No,No,5.0,Yes,Yes,dsl,Yes,No,No,No,No,No,Monthly,Yes,Manual,53.8,283.95,No
4189-NAKJS,male,0,No,No,26.0,Yes,Yes,dsl,No,No,No,No,No,No,One year,Yes,Credit card (automatic),51.55,1295.4,No
5562-BETPV,male,0,Yes,Yes,1.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.65,19.65,No
1282-IHQAC,male,1,No,No,70.0,No,No,dsl,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.05,3011.65,No
9127-FHJBZ,male,0,Yes,Yes,72.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Manual,114.0,8093.15,No
6270-OMFIW,male,0,Yes,No,60.0,Yes,No,fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Manual,94.4,5610.25,Yes
1641-RQDAY,female,1,Yes,Yes,32.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,100.4,3217.65,No
0107-WESLM,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,19.85,19.85,Yes
6994-ORCWG,female,0,No,No,14.0,Yes,Yes,dsl,No,Yes,No,No,No,No,One year,Yes,Manual,54.25,773.2,No
1346-UFHAX,female,0,No,No,13.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Credit card (automatic),80.0,1029.35,No
3992-YWPKO,female,0,No,No,6.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Credit card (automatic),109.9,669.45,Yes
2933-XEUJM,female,0,No,No,46.0,Yes,Yes,dsl,Yes,No,Yes,No,Yes,Yes,Two year,No,Manual,79.2,3593.8,No
0125-LZQXK,male,0,No,No,15.0,Yes,No,fiber optic,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Manual,101.35,1553.95,Yes
5461-QKNTN,male,1,Yes,No,43.0,Yes,Yes,fiber optic,No,Yes,No,Yes,Yes,No,Monthly,Yes,Manual,94.3,3953.15,No
4835-YSJMR,male,0,No,No,39.0,Yes,No,dsl,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.8,1971.15,No
8399-YNDCH,male,1,No,No,21.0,Yes,No,dsl,No,No,Yes,No,Yes,No,Monthly,Yes,Bank transfer (automatic),60.05,1236.15,Yes
3164-YAXFY,male,0,No,No,57.0,No,No,dsl,Yes,No,Yes,No,Yes,Yes,Monthly,Yes,Manual,53.75,3196.0,No
0887-WBJVH,female,0,Yes,No,53.0,Yes,No,fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Manual,93.45,4872.2,No
4660-IRIBM,male,0,Yes,Yes,18.0,Yes,No,fiber optic,Yes,No,Yes,No,Yes,No,Monthly,Yes,Manual,87.9,1500.5,No
5673-FSSMF,female,0,No,No,1.0,Yes,Yes,dsl,No,No,No,No,No,Yes,Monthly,Yes,Manual,60.15,60.15,Yes
7670-ZBPOQ,female,0,Yes,No,58.0,Yes,Yes,dsl,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),61.05,3478.75,No
8089-UZWLX,female,1,No,No,71.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.05,7413.55,No
0080-OROZO,female,0,No,No,35.0,Yes,No,fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Manual,99.25,3532.0,No
3916-NRPAP,male,0,No,No,3.0,Yes,No,fiber optic,No,No,Yes,No,No,Yes,Monthly,No,Credit card (automatic),85.7,256.75,No
6807-SIWJI,male,0,No,No,38.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Manual,104.85,3887.25,No
8221-HVAYI,male,0,Yes,Yes,35.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.15,2490.15,No
1579-KLYDT,male,0,No,No,7.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,No,Monthly,Yes,Manual,90.45,593.45,Yes
5232-NXPAY,female,0,No,No,47.0,Yes,No,dsl,No,No,Yes,Yes,Yes,Yes,Two year,No,Manual,74.45,3510.3,No
8967-SZQAS,female,0,No,No,14.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,No,Manual,50.45,765.45,No
4468-KAZHE,female,1,Yes,No,20.0,Yes,No,dsl,No,Yes,No,No,No,Yes,Monthly,Yes,Manual,60.0,1259.35,No
0455-ENTCR,male,0,Yes,No,66.0,Yes,Yes,dsl,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Manual,85.25,5538.35,No
8944-AILEF,male,0,Yes,No,15.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Credit card (automatic),19.45,340.85,No
5542-NKVRU,female,0,No,No,42.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.75,844.45,No
7126-RBHSD,female,0,Yes,No,17.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,No,Manual,78.9,1348.95,No
5370-IIVVL,male,0,No,No,37.0,Yes,Yes,fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,3778.0,No
6789-HJBWG,female,0,No,No,12.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,49.4,611.65,No
3927-NLNRY,male,0,Yes,No,53.0,Yes,No,fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.25,4867.95,Yes
9087-EYCPR,female,0,No,No,60.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Manual,25.0,1505.05,No
6791-YBNAK,male,0,Yes,Yes,18.0,No,No,dsl,No,No,No,No,No,No,Monthly,No,Credit card (automatic),25.55,467.85,No
6358-LYNGM,male,0,No,No,1.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,74.9,74.9,Yes
6077-BDPXA,female,0,No,No,3.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,70.15,194.2,No
0013-MHZWF,female,0,No,Yes,9.0,Yes,No,dsl,No,No,No,Yes,Yes,Yes,Monthly,Yes,Credit card (automatic),69.4,571.45,No
5494-HECPR,female,0,No,No,1.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,80.25,80.25,Yes
8268-YDIXR,male,0,Yes,No,56.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Manual,93.15,5253.95,No
9824-BEMCV,male,0,Yes,Yes,17.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.0,1149.65,Yes
1373-ORVIZ,female,0,Yes,Yes,11.0,Yes,Yes,dsl,No,No,No,Yes,No,Yes,Monthly,Yes,Manual,66.35,740.8,Yes
4291-SHSBH,male,0,No,No,7.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.55,521.35,No
6980-IMXXE,female,0,Yes,Yes,69.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.2,1412.65,No
9866-QEVEE,male,0,No,No,19.0,Yes,Yes,fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Bank transfer (automatic),86.0,1532.45,Yes
9897-KXHCM,female,0,Yes,Yes,3.0,Yes,No,fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Manual,80.3,250.05,Yes
0040-HALCW,male,0,Yes,Yes,54.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.4,1090.6,No
0784-GTUUK,male,0,Yes,No,62.0,Yes,Yes,no,No,No,No,No,No,No,One year,Yes,Credit card (automatic),23.75,1446.8,No
7979-CORPM,male,0,No,No,24.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),90.55,2282.55,Yes
2294-DMMUS,female,0,Yes,Yes,62.0,Yes,Yes,dsl,No,No,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),70.45,4300.45,No
0872-JCPIB,male,0,No,No,17.0,Yes,Yes,dsl,Yes,No,No,No,No,Yes,Monthly,No,Bank transfer (automatic),65.75,1111.2,No
3055-MJDSB,male,0,No,No,9.0,No,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,24.6,190.1,No
9091-WTUUY,male,0,Yes,Yes,64.0,Yes,No,dsl,Yes,No,Yes,Yes,Yes,No,Two year,No,Manual,69.25,4447.75,No
1618-CFHME,female,0,No,No,2.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,75.9,143.35,Yes
3165-HDOEW,male,0,Yes,Yes,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,45.85,45.85,Yes
6581-NQCBA,female,0,Yes,No,16.0,No,No,dsl,No,No,No,Yes,Yes,Yes,Monthly,Yes,Manual,49.95,810.2,Yes
7115-IRDHS,female,0,Yes,No,72.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.65,1830.05,No
8496-DMZUK,male,0,No,No,30.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),90.4,2820.65,No
2040-VZIKE,female,0,Yes,No,49.0,Yes,Yes,fiber optic,Yes,No,No,No,Yes,Yes,Monthly,Yes,Manual,100.85,4847.35,No
9068-VPWQQ,male,0,Yes,No,61.0,Yes,Yes,dsl,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),75.35,4729.3,No
0178-SZBHO,male,0,Yes,Yes,47.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,No,Manual,87.2,4017.45,No
0384-RVBPI,male,0,No,No,20.0,Yes,No,dsl,Yes,No,Yes,No,No,Yes,Monthly,No,Credit card (automatic),64.4,1398.6,No
1689-MRZQR,male,0,Yes,Yes,34.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,No,Manual,78.3,2564.3,Yes
1299-AURJA,female,0,Yes,Yes,70.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.7,1685.9,No
4525-VZCZG,male,0,No,Yes,54.0,Yes,No,fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Manual,105.85,5826.65,No
1543-LLLFT,male,1,Yes,No,61.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Manual,98.3,6066.55,No
5835-BEQEU,male,0,No,No,3.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,76.95,228.4,Yes
2788-CJQAQ,male,0,No,No,13.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.45,270.2,No
5565-FILXA,female,1,No,No,16.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,96.15,1529.2,Yes
0319-QZTCO,female,0,Yes,Yes,3.0,Yes,No,dsl,No,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),58.7,168.6,No
2120-SMPEX,male,0,No,No,25.0,Yes,No,no,No,No,No,No,No,No,Monthly,Yes,Manual,20.15,536.35,No
0096-FCPUF,male,0,No,No,30.0,Yes,Yes,dsl,Yes,No,No,No,No,Yes,Monthly,Yes,Manual,64.5,1888.45,No
0668-OGMHD,female,0,Yes,No,21.0,No,No,dsl,Yes,No,No,No,No,No,Monthly,No,Manual,28.5,629.35,No
5552-ZNFSJ,male,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,45.3,45.3,Yes
2223-KAGMX,female,0,No,No,15.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),19.4,289.3,Yes
6507-ZJSUR,male,1,Yes,No,23.0,Yes,No,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,90.45,2117.25,No
9408-HRXRK,female,0,Yes,Yes,45.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,105.15,4730.9,No
5593-SUAOO,female,0,Yes,Yes,24.0,Yes,Yes,fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),83.15,2033.05,No
7321-PKUYW,female,0,No,No,11.0,Yes,Yes,fiber optic,No,No,No,Yes,Yes,No,Monthly,No,Manual,90.15,987.95,Yes
2833-SLKDQ,male,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,45.05,45.05,Yes
6766-HFKLA,female,0,Yes,No,56.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.2,5744.35,No
7595-EUIVN,female,0,No,No,1.0,Yes,No,fiber optic,No,Yes,No,No,No,No,Monthly,No,Manual,75.8,75.8,Yes
7617-EYGLW,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.45,19.45,No
2026-TGDHM,female,0,No,No,7.0,Yes,No,fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Manual,79.3,523.15,Yes
9220-ZNKJI,female,1,Yes,No,55.0,Yes,No,fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),88.8,4805.3,No
4030-VPZBD,female,0,No,No,2.0,No,No,dsl,No,No,No,Yes,No,No,Monthly,Yes,Manual,30.9,59.05,Yes
2226-ICFDO,female,0,Yes,Yes,72.0,Yes,Yes,dsl,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.9,6110.75,No
0723-VSOBE,female,1,No,No,45.0,No,No,dsl,No,No,No,No,No,Yes,One year,No,Manual,34.2,1596.6,No
5529-GIBVH,female,0,No,No,47.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,20.15,1046.2,No
4187-CINZD,female,1,No,No,46.0,Yes,No,fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),95.25,4424.2,Yes
9992-UJOEL,male,0,No,No,2.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,50.3,92.75,No
4741-WWJQZ,female,0,Yes,No,2.0,Yes,No,fiber optic,Yes,No,No,Yes,No,No,Monthly,Yes,Manual,80.15,194.55,No
6625-UTXEW,female,0,Yes,No,12.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,51.25,612.1,No
6818-WOBHJ,female,1,Yes,No,68.0,Yes,Yes,fiber optic,No,Yes,No,No,No,Yes,Monthly,Yes,Bank transfer (automatic),89.6,6127.6,Yes
6244-BESBM,male,0,Yes,Yes,69.0,Yes,No,fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.2,6671.7,No
1004-NOZNR,male,1,No,Yes,56.0,Yes,No,fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),94.8,5264.3,No
1251-STYSZ,female,1,No,No,4.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Manual,80.25,303.7,No
2612-PHGOX,male,0,Yes,No,64.0,Yes,Yes,dsl,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),76.1,4818.8,No
2408-TZMJL,male,0,Yes,No,59.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Manual,110.15,6448.05,Yes
8480-PPONV,male,0,Yes,Yes,62.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),115.55,7159.05,No
8780-IHCRN,male,0,Yes,Yes,63.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.65,1574.5,No
4598-ZADCK,female,0,No,No,53.0,No,No,dsl,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Manual,53.6,2879.2,No
1257-SXUXQ,male,0,Yes,Yes,5.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.45,86.05,No
9681-KYGYB,male,1,Yes,No,49.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,No,No,Monthly,Yes,Manual,88.2,4159.45,No
7182-OVLBJ,female,0,Yes,Yes,62.0,Yes,Yes,fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.15,6638.35,No
5095-ETBRJ,female,0,Yes,No,55.0,Yes,No,dsl,Yes,Yes,No,Yes,No,No,Two year,No,Manual,56.8,3112.05,No
7005-CYUIL,female,1,Yes,No,71.0,Yes,No,fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Manual,99.4,7168.25,No
4821-WQOYN,female,0,Yes,Yes,72.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),20.1,1326.25,No
4730-AWNAU,male,0,Yes,Yes,36.0,No,No,dsl,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),60.7,2234.55,No
3452-FLHYD,male,0,Yes,No,25.0,Yes,No,no,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.95,495.15,No
2388-LAESQ,female,1,Yes,No,72.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,No
9531-NSBMR,female,0,No,No,36.0,Yes,No,no,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.25,679.8,No
6260-ONULR,male,0,No,No,1.0,Yes,No,dsl,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,62.8,62.8,No
4389-UEFCZ,female,0,Yes,No,72.0,Yes,Yes,fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Manual,105.5,7544.0,No
8711-LOBKY,male,0,Yes,Yes,59.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,19.85,1188.25,No
9134-CEQMF,male,1,Yes,No,7.0,Yes,No,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,89.5,676.7,Yes
8985-OOPOS,female,0,No,No,1.0,Yes,No,dsl,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),74.1,74.1,No
8800-ZKRFW,female,0,Yes,Yes,30.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Manual,107.5,3242.5,No
2616-FLVQC,male,0,No,No,64.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,19.55,1240.15,No
9968-FFVVH,male,0,No,No,63.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.8,4111.35,No
3108-PCCGG,male,1,Yes,No,72.0,Yes,Yes,dsl,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),84.45,5899.85,No
7993-PYKOF,male,0,Yes,No,8.0,Yes,No,fiber optic,Yes,No,No,No,No,No,Monthly,No,Manual,75.0,632.95,Yes
8390-FESFV,female,0,No,No,62.0,Yes,Yes,dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),84.5,5193.2,No
